axis,value,task,seed,acc,eps,support_size,support
r0,2,choose-first-of-list,2,0.2,0.8711,5,alphabetically-first|alphabetically-last|choose-middle-of-list|animal-from-list|verb-from-list
r0,2,choose-last-of-list,0,0.2,0.8141,5,alphabetically-first|alphabetically-last|choose-first-of-list|choose-middle-of-list|verb-from-list
r0,2,choose-last-of-list,1,0.44,0.7789,5,alphabetically-first|alphabetically-last|choose-middle-of-list|animal-from-list|verb-from-list
r0,2,choose-last-of-list,2,0.36,0.858,4,alphabetically-first|alphabetically-last|choose-middle-of-list|verb-from-list
r0,2,choose-middle-of-list,0,0.08,0.7521,5,alphabetically-first|alphabetically-last|choose-last-of-list|animal-from-list|verb-from-list
r0,2,choose-middle-of-list,1,0.04,0.7803,5,alphabetically-first|alphabetically-last|choose-last-of-list|fruit-from-list|verb-from-list
r0,2,choose-middle-of-list,2,0.04,0.7485,5,alphabetically-first|alphabetically-last|choose-first-of-list|choose-last-of-list|verb-from-list
r0,2,animal-from-list,0,0.0,0.8558,5,alphabetically-first|choose-first-of-list|choose-middle-of-list|color-from-list|fruit-from-list
r0,2,animal-from-list,1,0.4,0.8266,5,alphabetically-last|choose-last-of-list|choose-middle-of-list|color-from-list|fruit-from-list
r0,2,animal-from-list,2,0.0,0.8472,3,alphabetically-first|choose-middle-of-list|fruit-from-list
r0,2,color-from-list,0,0.28,0.9099,3,alphabetically-first|choose-middle-of-list|fruit-from-list
r0,2,color-from-list,1,0.32,0.8249,4,choose-last-of-list|choose-middle-of-list|animal-from-list|fruit-from-list
r0,2,color-from-list,2,0.52,0.8754,4,alphabetically-first|choose-last-of-list|choose-middle-of-list|fruit-from-list
r0,2,fruit-from-list,0,0.52,0.7653,5,capitalize|alphabetically-first|choose-last-of-list|animal-from-list|color-from-list
r0,2,fruit-from-list,1,0.32,0.7663,5,alphabetically-last|choose-first-of-list|choose-last-of-list|animal-from-list|color-from-list
r0,2,fruit-from-list,2,0.48,0.7337,5,alphabetically-first|alphabetically-last|choose-last-of-list|animal-from-list|color-from-list
r0,2,verb-from-list,0,0.12,0.8588,4,alphabetically-first|alphabetically-last|choose-last-of-list|choose-middle-of-list
r0,2,verb-from-list,1,0.16,0.8508,5,alphabetically-last|choose-first-of-list|choose-last-of-list|choose-middle-of-list|fruit-from-list
r0,2,verb-from-list,2,0.16,0.8862,5,alphabetically-first|alphabetically-last|choose-first-of-list|choose-last-of-list|choose-middle-of-list
r0,4,country-capital,0,0.92,0.8954,5,country-currency|landmark-country|park-country|product-company|synonym
r0,4,country-capital,1,0.96,0.8555,4,country-currency|park-country|product-company|synonym
r0,4,country-capital,2,0.96,0.872,5,country-currency|landmark-country|park-country|product-company|synonym
r0,4,country-currency,0,0.0,0.8849,5,country-capital|park-country|person-sport|person-instrument|product-company
r0,4,country-currency,1,0.12,0.914,2,country-capital|park-country
r0,4,country-currency,2,0.04,0.89,3,country-capital|park-country|person-instrument
r0,4,landmark-country,0,0.04,0.8702,4,park-country|person-occupation|person-sport|product-company
r0,4,landmark-country,1,0.2,0.8886,3,country-currency|park-country|product-company
r0,4,landmark-country,2,0.2,0.8348,3,park-country|person-occupation|product-company
r0,4,park-country,0,0.0,0.8679,5,country-capital|landmark-country|person-occupation|person-sport|product-company
r0,4,park-country,1,0.08,0.8213,5,landmark-country|person-occupation|person-sport|product-company|next-item
r0,4,park-country,2,0.0,0.8506,4,landmark-country|person-occupation|person-sport|product-company
r0,4,person-occupation,0,0.0,0.8012,4,person-sport|person-instrument|product-company|synonym
r0,4,person-occupation,1,0.04,0.8116,3,person-sport|person-instrument|product-company
r0,4,person-occupation,2,0.0,0.7508,5,person-sport|person-instrument|product-company|synonym|alphabetically-first
r0,4,person-sport,0,0.0,0.7568,4,park-country|person-occupation|person-instrument|product-company
r0,4,person-sport,1,0.0,0.735,5,country-currency|park-country|person-occupation|person-instrument|product-company
r0,4,person-sport,2,0.0,0.7706,4,country-currency|person-occupation|person-instrument|product-company
r0,4,person-instrument,0,0.0,0.8626,2,person-occupation|person-sport
r0,4,person-instrument,1,0.0,0.812,5,person-occupation|person-sport|product-company|word-length|alphabetically-first
r0,4,person-instrument,2,0.0,0.8836,3,person-occupation|person-sport|product-company
r0,4,product-company,0,0.04,0.9489,5,landmark-country|park-country|person-occupation|person-sport|person-instrument
r0,4,product-company,1,0.04,0.9535,5,landmark-country|park-country|person-instrument|alphabetically-first|alphabetically-last
r0,4,product-company,2,0.04,0.943,4,landmark-country|park-country|person-occupation|person-instrument
r0,4,antonym,0,0.52,0.9367,5,synonym|english-french|english-spanish|next-item|prev-item
r0,4,antonym,1,0.48,0.9138,5,synonym|english-french|english-spanish|next-item|prev-item
r0,4,antonym,2,0.4,0.9135,5,synonym|capitalize|english-french|next-item|prev-item
r0,4,synonym,0,0.56,0.9238,5,antonym|capitalize|english-french|english-german|alphabetically-first
r0,4,synonym,1,0.6,0.916,5,antonym|present-past|english-french|next-item|alphabetically-first
r0,4,synonym,2,0.56,0.9382,3,antonym|english-french|english-german
r0,4,present-past,0,0.64,0.9027,5,singular-plural|capitalize|english-french|english-german|english-spanish
r0,4,present-past,1,0.72,0.8938,5,singular-plural|capitalize|english-french|english-german|next-item
r0,4,present-past,2,0.68,0.8769,5,singular-plural|capitalize|english-french|english-german|english-spanish
r0,4,singular-plural,0,0.92,0.7505,5,present-past|capitalize|english-french|english-german|english-spanish
r0,4,singular-plural,1,0.96,0.7727,5,present-past|capitalize|english-french|english-german|english-spanish
r0,4,singular-plural,2,0.88,0.7406,5,present-past|capitalize|english-french|english-german|english-spanish
r0,4,capitalize,0,0.8,0.9114,4,present-past|singular-plural|capitalize-first-letter|lowercase-first-letter
r0,4,capitalize,1,0.84,0.9382,4,singular-plural|capitalize-first-letter|lowercase-first-letter|choose-middle-of-list
r0,4,capitalize,2,0.84,0.9316,4,present-past|singular-plural|capitalize-first-letter|lowercase-first-letter
r0,4,capitalize-first-letter,0,0.2,0.549,3,capitalize-last-letter|lowercase-first-letter|next-capital-letter
r0,4,capitalize-first-letter,1,0.44,0.5318,3,capitalize-last-letter|lowercase-first-letter|next-capital-letter
r0,4,capitalize-first-letter,2,0.08,0.5608,4,capitalize-last-letter|lowercase-first-letter|next-capital-letter|word-length
r0,4,capitalize-last-letter,0,0.0,0.7443,4,capitalize-first-letter|lowercase-first-letter|next-capital-letter|word-length
r0,4,capitalize-last-letter,1,0.0,0.9006,3,capitalize-first-letter|lowercase-first-letter|next-capital-letter
r0,4,capitalize-last-letter,2,0.0,0.7613,5,capitalize-first-letter|lowercase-first-letter|prev-item|next-capital-letter|alphabetically-last
r0,4,lowercase-first-letter,0,0.64,0.5765,2,capitalize-first-letter|capitalize-last-letter
r0,4,lowercase-first-letter,1,0.56,0.582,3,capitalize-first-letter|capitalize-last-letter|prev-item
r0,4,lowercase-first-letter,2,0.6,0.5823,5,capitalize-first-letter|capitalize-last-letter|next-item|next-capital-letter|word-length
r0,4,english-french,0,0.2,0.8016,2,english-german|english-spanish
r0,4,english-french,1,0.12,0.7731,2,english-german|english-spanish
r0,4,english-french,2,0.24,0.8806,2,english-german|english-spanish
r0,4,english-german,0,0.08,0.7463,3,english-french|english-spanish|next-item
r0,4,english-german,1,0.08,0.7887,4,singular-plural|capitalize|english-french|english-spanish
r0,4,english-german,2,0.04,0.775,3,english-french|english-spanish|next-item
r0,4,english-spanish,0,0.36,0.7135,5,country-currency|english-french|english-german|color-from-list|fruit-from-list
r0,4,english-spanish,1,0.56,0.6948,5,country-currency|synonym|english-french|english-german|prev-item
r0,4,english-spanish,2,0.56,0.7353,5,synonym|singular-plural|english-french|english-german|alphabetically-first
r0,4,next-item,0,0.44,0.7152,3,capitalize-last-letter|english-spanish|prev-item
r0,4,next-item,1,0.4,0.7201,1,prev-item
r0,4,next-item,2,0.44,0.6904,3,antonym|capitalize-last-letter|prev-item
r0,4,prev-item,0,0.4,0.7108,4,antonym|lowercase-first-letter|next-item|alphabetically-last
r0,4,prev-item,1,0.48,0.7532,4,lowercase-first-letter|next-item|next-capital-letter|word-length
r0,4,prev-item,2,0.32,0.7073,5,antonym|capitalize|lowercase-first-letter|next-item|alphabetically-last
r0,4,next-capital-letter,0,0.0,0.785,4,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|word-length
r0,4,next-capital-letter,1,0.0,0.5073,5,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-item|word-length
r0,4,next-capital-letter,2,0.0,0.8042,5,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-item|word-length
r0,4,word-length,0,0.0,0.954,3,capitalize-first-letter|capitalize-last-letter|next-capital-letter
r0,4,word-length,1,0.0,0.9417,5,person-instrument|capitalize-last-letter|lowercase-first-letter|prev-item|next-capital-letter
r0,4,word-length,2,0.0,0.8902,4,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-capital-letter
r0,4,alphabetically-first,0,0.08,0.7862,5,alphabetically-last|choose-last-of-list|choose-middle-of-list|animal-from-list|fruit-from-list
r0,4,alphabetically-first,1,0.12,0.8598,3,alphabetically-last|choose-last-of-list|choose-middle-of-list
r0,4,alphabetically-first,2,0.08,0.8145,5,alphabetically-last|choose-last-of-list|choose-middle-of-list|animal-from-list|fruit-from-list
r0,4,alphabetically-last,0,0.12,0.8395,3,alphabetically-first|choose-last-of-list|choose-middle-of-list
r0,4,alphabetically-last,1,0.04,0.8538,4,alphabetically-first|choose-last-of-list|choose-middle-of-list|animal-from-list
r0,4,alphabetically-last,2,0.12,0.8505,5,alphabetically-first|choose-last-of-list|choose-middle-of-list|animal-from-list|fruit-from-list
r0,4,choose-first-of-list,0,0.16,0.8532,5,alphabetically-first|alphabetically-last|choose-middle-of-list|fruit-from-list|verb-from-list
r0,4,choose-first-of-list,1,0.16,0.8546,5,alphabetically-first|alphabetically-last|choose-last-of-list|animal-from-list|fruit-from-list
r0,4,choose-first-of-list,2,0.2,0.9172,4,alphabetically-first|animal-from-list|fruit-from-list|verb-from-list
r0,4,choose-last-of-list,0,0.4,0.8636,5,alphabetically-first|alphabetically-last|choose-first-of-list|choose-middle-of-list|animal-from-list
r0,4,choose-last-of-list,1,0.32,0.87,3,alphabetically-first|alphabetically-last|animal-from-list
r0,4,choose-last-of-list,2,0.4,0.9127,2,alphabetically-first|alphabetically-last
r0,4,choose-middle-of-list,0,0.16,0.8842,3,alphabetically-first|alphabetically-last|verb-from-list
r0,4,choose-middle-of-list,1,0.12,0.8481,5,alphabetically-first|alphabetically-last|choose-last-of-list|fruit-from-list|verb-from-list
r0,4,choose-middle-of-list,2,0.12,0.82,5,alphabetically-first|alphabetically-last|choose-first-of-list|choose-last-of-list|verb-from-list
r0,4,animal-from-list,0,0.04,0.9627,1,choose-middle-of-list
r0,4,animal-from-list,1,0.08,0.8818,5,alphabetically-last|choose-last-of-list|choose-middle-of-list|color-from-list|fruit-from-list
r0,4,animal-from-list,2,0.04,0.8823,4,alphabetically-first|choose-first-of-list|choose-middle-of-list|fruit-from-list
r0,4,color-from-list,0,0.2,0.9169,5,alphabetically-first|alphabetically-last|choose-last-of-list|choose-middle-of-list|fruit-from-list
r0,4,color-from-list,1,0.2,0.8582,3,choose-last-of-list|choose-middle-of-list|fruit-from-list
r0,4,color-from-list,2,0.32,0.8938,3,choose-last-of-list|choose-middle-of-list|fruit-from-list
r0,4,fruit-from-list,0,0.24,0.8129,4,alphabetically-first|choose-last-of-list|animal-from-list|color-from-list
r0,4,fruit-from-list,1,0.2,0.8012,5,alphabetically-last|choose-first-of-list|choose-last-of-list|animal-from-list|color-from-list
r0,4,fruit-from-list,2,0.28,0.7632,5,alphabetically-first|alphabetically-last|choose-last-of-list|animal-from-list|color-from-list
r0,4,verb-from-list,0,0.04,0.9197,3,alphabetically-last|choose-last-of-list|choose-middle-of-list
r0,4,verb-from-list,1,0.16,0.8574,5,alphabetically-last|choose-first-of-list|choose-last-of-list|choose-middle-of-list|fruit-from-list
r0,4,verb-from-list,2,0.12,0.9364,5,alphabetically-first|alphabetically-last|choose-last-of-list|choose-middle-of-list|fruit-from-list
r0,8,country-capital,0,0.48,0.9605,4,country-currency|park-country|product-company|synonym
r0,8,country-capital,1,0.4,0.9592,4,country-currency|landmark-country|park-country|product-company
r0,8,country-capital,2,0.48,0.9607,4,country-currency|landmark-country|product-company|synonym
r0,8,country-currency,0,0.0,0.9526,4,country-capital|person-sport|person-instrument|product-company
r0,8,country-currency,1,0.0,0.9539,5,country-capital|park-country|present-past|choose-last-of-list|animal-from-list
r0,8,country-currency,2,0.0,0.9594,5,country-capital|park-country|person-instrument|product-company|alphabetically-first
r0,8,landmark-country,0,0.0,0.8858,4,park-country|person-occupation|person-sport|product-company
r0,8,landmark-country,1,0.16,0.8669,5,country-capital|country-currency|park-country|product-company|alphabetically-last
r0,8,landmark-country,2,0.12,0.8599,4,park-country|person-occupation|person-sport|product-company
r0,8,park-country,0,0.0,0.8784,5,country-capital|landmark-country|person-occupation|person-sport|product-company
r0,8,park-country,1,0.04,0.8546,4,landmark-country|person-occupation|person-sport|product-company
r0,8,park-country,2,0.0,0.8526,4,landmark-country|person-occupation|person-sport|product-company
r0,8,person-occupation,0,0.0,0.8599,4,person-sport|person-instrument|product-company|synonym
r0,8,person-occupation,1,0.0,0.8539,4,person-sport|person-instrument|product-company|alphabetically-first
r0,8,person-occupation,2,0.0,0.8388,5,person-sport|person-instrument|product-company|synonym|alphabetically-first
r0,8,person-sport,0,0.0,0.7792,5,landmark-country|park-country|person-occupation|person-instrument|product-company
r0,8,person-sport,1,0.0,0.788,5,landmark-country|park-country|person-occupation|person-instrument|product-company
r0,8,person-sport,2,0.0,0.823,4,park-country|person-occupation|person-instrument|product-company
r0,8,person-instrument,0,0.0,0.9102,3,person-occupation|person-sport|alphabetically-last
r0,8,person-instrument,1,0.0,0.8571,4,person-occupation|person-sport|product-company|word-length
r0,8,person-instrument,2,0.0,0.923,4,person-occupation|person-sport|product-company|verb-from-list
r0,8,product-company,0,0.0,0.9558,4,landmark-country|park-country|person-sport|alphabetically-last
r0,8,product-company,1,0.0,0.9621,4,landmark-country|park-country|person-instrument|alphabetically-first
r0,8,product-company,2,0.04,0.9579,4,landmark-country|park-country|person-occupation|person-instrument
r0,8,antonym,0,0.12,0.9568,5,synonym|capitalize|english-french|next-item|prev-item
r0,8,antonym,1,0.08,0.9811,3,synonym|next-item|prev-item
r0,8,antonym,2,0.0,0.9534,5,synonym|capitalize|english-french|next-item|prev-item
r0,8,synonym,0,0.56,0.9527,4,antonym|capitalize|english-french|english-spanish
r0,8,synonym,1,0.6,0.9268,4,antonym|present-past|english-french|english-spanish
r0,8,synonym,2,0.52,0.9517,3,antonym|english-french|english-spanish
r0,8,present-past,0,0.2,0.9266,5,singular-plural|capitalize|english-french|english-german|english-spanish
r0,8,present-past,1,0.28,0.9225,4,singular-plural|capitalize|english-french|english-german
r0,8,present-past,2,0.32,0.8925,5,singular-plural|capitalize|english-french|english-german|english-spanish
r0,8,singular-plural,0,0.04,0.9162,5,present-past|capitalize|english-french|english-german|english-spanish
r0,8,singular-plural,1,0.16,0.9411,5,present-past|capitalize|english-french|english-german|english-spanish
r0,8,singular-plural,2,0.04,0.9132,5,present-past|capitalize|english-french|english-german|english-spanish
r0,8,capitalize,0,0.68,0.9525,3,present-past|singular-plural|capitalize-first-letter
r0,8,capitalize,1,0.76,0.9792,1,singular-plural
r0,8,capitalize,2,0.76,0.9522,4,present-past|singular-plural|lowercase-first-letter|choose-first-of-list
r0,8,capitalize-first-letter,0,0.0,0.6603,3,capitalize-last-letter|lowercase-first-letter|next-capital-letter
r0,8,capitalize-first-letter,1,0.08,0.6396,3,capitalize-last-letter|lowercase-first-letter|next-capital-letter
r0,8,capitalize-first-letter,2,0.0,0.6385,5,capitalize-last-letter|lowercase-first-letter|next-capital-letter|word-length|color-from-list
r0,8,capitalize-last-letter,0,0.0,0.7602,4,capitalize-first-letter|lowercase-first-letter|next-capital-letter|word-length
r0,8,capitalize-last-letter,1,0.0,0.913,4,capitalize-first-letter|lowercase-first-letter|next-capital-letter|word-length
r0,8,capitalize-last-letter,2,0.0,0.7934,5,capitalize-first-letter|lowercase-first-letter|prev-item|next-capital-letter|alphabetically-last
r0,8,lowercase-first-letter,0,0.32,0.684,3,capitalize|capitalize-first-letter|capitalize-last-letter
r0,8,lowercase-first-letter,1,0.28,0.6979,5,capitalize|capitalize-first-letter|capitalize-last-letter|next-item|prev-item
r0,8,lowercase-first-letter,2,0.24,0.662,3,capitalize-first-letter|capitalize-last-letter|next-capital-letter
r0,8,english-french,0,0.0,0.9103,4,antonym|present-past|english-german|english-spanish
r0,8,english-french,1,0.0,0.8993,2,english-german|english-spanish
r0,8,english-french,2,0.0,0.9203,5,antonym|present-past|capitalize|english-german|english-spanish
r0,8,english-german,0,0.0,0.8983,5,person-instrument|present-past|english-french|english-spanish|prev-item
r0,8,english-german,1,0.0,0.8992,4,synonym|capitalize|english-french|english-spanish
r0,8,english-german,2,0.0,0.9229,2,english-french|english-spanish
r0,8,english-spanish,0,0.0,0.876,4,country-currency|english-french|english-german|fruit-from-list
r0,8,english-spanish,1,0.0,0.8813,2,english-french|english-german
r0,8,english-spanish,2,0.0,0.8505,5,synonym|singular-plural|english-french|english-german|alphabetically-first
r0,8,next-item,0,0.0,0.8301,4,capitalize-last-letter|english-spanish|prev-item|alphabetically-first
r0,8,next-item,1,0.0,0.8822,2,prev-item|word-length
r0,8,next-item,2,0.0,0.8349,2,capitalize-last-letter|prev-item
r0,8,prev-item,0,0.04,0.8567,4,capitalize-last-letter|lowercase-first-letter|next-item|next-capital-letter
r0,8,prev-item,1,0.04,0.8844,4,lowercase-first-letter|next-item|next-capital-letter|word-length
r0,8,prev-item,2,0.04,0.8558,5,synonym|capitalize|capitalize-last-letter|lowercase-first-letter|next-item
r0,8,next-capital-letter,0,0.0,0.7994,4,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|word-length
r0,8,next-capital-letter,1,0.0,0.5843,4,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-item
r0,8,next-capital-letter,2,0.0,0.8306,4,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-item
r0,8,word-length,0,0.0,0.9545,4,person-sport|capitalize-first-letter|capitalize-last-letter|next-capital-letter
r0,8,word-length,1,0.0,0.9627,4,capitalize-last-letter|lowercase-first-letter|prev-item|next-capital-letter
r0,8,word-length,2,0.0,0.9127,4,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-capital-letter
r0,8,alphabetically-first,0,0.08,0.7902,5,alphabetically-last|choose-last-of-list|choose-middle-of-list|animal-from-list|fruit-from-list
r0,8,alphabetically-first,1,0.08,0.8712,3,alphabetically-last|choose-last-of-list|choose-middle-of-list
r0,8,alphabetically-first,2,0.08,0.8168,5,alphabetically-last|choose-last-of-list|choose-middle-of-list|animal-from-list|fruit-from-list
r0,8,alphabetically-last,0,0.08,0.8486,3,alphabetically-first|choose-middle-of-list|fruit-from-list
r0,8,alphabetically-last,1,0.08,0.8598,5,alphabetically-first|choose-last-of-list|choose-middle-of-list|animal-from-list|fruit-from-list
r0,8,alphabetically-last,2,0.08,0.8523,4,choose-last-of-list|choose-middle-of-list|animal-from-list|fruit-from-list
r0,8,choose-first-of-list,0,0.16,0.8874,5,alphabetically-first|alphabetically-last|choose-middle-of-list|fruit-from-list|verb-from-list
r0,8,choose-first-of-list,1,0.16,0.9004,2,alphabetically-first|alphabetically-last
r0,8,choose-first-of-list,2,0.16,0.9187,4,alphabetically-first|animal-from-list|fruit-from-list|verb-from-list
r0,8,choose-last-of-list,0,0.4,0.8615,5,alphabetically-first|alphabetically-last|choose-first-of-list|choose-middle-of-list|animal-from-list
r0,8,choose-last-of-list,1,0.4,0.872,4,alphabetically-first|alphabetically-last|choose-middle-of-list|animal-from-list
r0,8,choose-last-of-list,2,0.36,0.916,5,alphabetically-first|alphabetically-last|choose-first-of-list|choose-middle-of-list|fruit-from-list
r0,8,choose-middle-of-list,0,0.16,0.8642,5,alphabetically-first|alphabetically-last|animal-from-list|fruit-from-list|verb-from-list
r0,8,choose-middle-of-list,1,0.12,0.8889,4,alphabetically-first|alphabetically-last|fruit-from-list|verb-from-list
r0,8,choose-middle-of-list,2,0.12,0.8557,5,alphabetically-first|alphabetically-last|choose-first-of-list|choose-last-of-list|verb-from-list
r0,8,animal-from-list,0,0.04,0.9663,1,choose-middle-of-list
r0,8,animal-from-list,1,0.08,0.8856,4,alphabetically-last|choose-last-of-list|choose-middle-of-list|fruit-from-list
r0,8,animal-from-list,2,0.04,0.886,4,alphabetically-first|choose-first-of-list|choose-middle-of-list|verb-from-list
r0,8,color-from-list,0,0.2,0.9201,4,alphabetically-first|alphabetically-last|choose-middle-of-list|fruit-from-list
r0,8,color-from-list,1,0.2,0.866,5,alphabetically-last|choose-first-of-list|choose-last-of-list|choose-middle-of-list|fruit-from-list
r0,8,color-from-list,2,0.32,0.8969,4,choose-first-of-list|choose-last-of-list|choose-middle-of-list|fruit-from-list
r0,8,fruit-from-list,0,0.2,0.8175,5,alphabetically-first|alphabetically-last|choose-last-of-list|animal-from-list|color-from-list
r0,8,fruit-from-list,1,0.16,0.806,5,alphabetically-first|alphabetically-last|choose-first-of-list|animal-from-list|color-from-list
r0,8,fruit-from-list,2,0.2,0.7649,4,alphabetically-first|alphabetically-last|animal-from-list|color-from-list
r0,8,verb-from-list,0,0.04,0.8914,5,alphabetically-last|choose-first-of-list|choose-last-of-list|choose-middle-of-list|fruit-from-list
r0,8,verb-from-list,1,0.16,0.8813,5,alphabetically-last|choose-first-of-list|choose-last-of-list|choose-middle-of-list|fruit-from-list
r0,8,verb-from-list,2,0.04,0.9353,3,alphabetically-last|choose-last-of-list|fruit-from-list
r0,16,country-capital,0,0.0,0.9778,4,country-currency|park-country|product-company|synonym
r0,16,country-capital,1,0.0,0.9784,3,country-currency|park-country|product-company
r0,16,country-capital,2,0.0,0.9828,4,country-currency|park-country|product-company|synonym
r0,16,country-currency,0,0.0,0.9529,5,country-capital|person-occupation|person-sport|person-instrument|product-company
r0,16,country-currency,1,0.0,0.9577,4,country-capital|park-country|alphabetically-first|animal-from-list
r0,16,country-currency,2,0.0,0.959,5,country-capital|park-country|person-instrument|product-company|alphabetically-first
r0,16,landmark-country,0,0.0,0.9172,4,park-country|person-occupation|person-sport|product-company
r0,16,landmark-country,1,0.0,0.9315,4,country-capital|park-country|person-occupation|product-company
r0,16,landmark-country,2,0.0,0.9382,5,park-country|person-occupation|product-company|next-capital-letter|alphabetically-last
r0,16,park-country,0,0.0,0.9169,5,country-capital|landmark-country|person-occupation|person-sport|product-company
r0,16,park-country,1,0.0,0.9066,5,landmark-country|person-occupation|person-sport|product-company|next-item
r0,16,park-country,2,0.0,0.8718,4,landmark-country|person-occupation|person-sport|product-company
r0,16,person-occupation,0,0.0,0.8835,4,person-sport|person-instrument|product-company|synonym
r0,16,person-occupation,1,0.0,0.8852,3,person-sport|person-instrument|product-company
r0,16,person-occupation,2,0.0,0.881,4,person-sport|person-instrument|product-company|synonym
r0,16,person-sport,0,0.0,0.8321,4,park-country|person-occupation|person-instrument|product-company
r0,16,person-sport,1,0.0,0.8592,5,landmark-country|park-country|person-occupation|person-instrument|product-company
r0,16,person-sport,2,0.0,0.8748,4,park-country|person-occupation|person-instrument|product-company
r0,16,person-instrument,0,0.0,0.9329,3,person-occupation|person-sport|alphabetically-first
r0,16,person-instrument,1,0.0,0.8759,4,person-occupation|person-sport|product-company|word-length
r0,16,person-instrument,2,0.0,0.932,4,person-occupation|person-sport|product-company|verb-from-list
r0,16,product-company,0,0.0,0.959,4,landmark-country|park-country|person-sport|alphabetically-last
r0,16,product-company,1,0.0,0.9405,5,landmark-country|park-country|person-instrument|alphabetically-first|alphabetically-last
r0,16,product-company,2,0.0,0.9621,5,country-currency|landmark-country|park-country|person-instrument|alphabetically-last
r0,16,antonym,0,0.0,0.9674,3,capitalize|next-item|prev-item
r0,16,antonym,1,0.0,0.987,3,capitalize|next-item|prev-item
r0,16,antonym,2,0.0,0.9641,5,synonym|capitalize|english-french|next-item|prev-item
r0,16,synonym,0,0.52,0.9496,4,antonym|capitalize|english-french|english-spanish
r0,16,synonym,1,0.44,0.9781,2,antonym|english-french
r0,16,synonym,2,0.52,0.9511,4,antonym|capitalize|english-french|english-german
r0,16,present-past,0,0.0,0.9499,4,singular-plural|capitalize|english-french|english-german
r0,16,present-past,1,0.0,0.9227,5,singular-plural|capitalize|english-french|english-german|choose-middle-of-list
r0,16,present-past,2,0.0,0.8981,5,singular-plural|capitalize|english-french|english-german|english-spanish
r0,16,singular-plural,0,0.04,0.9238,5,present-past|capitalize|english-french|english-german|english-spanish
r0,16,singular-plural,1,0.04,0.9231,5,present-past|capitalize|english-french|english-german|english-spanish
r0,16,singular-plural,2,0.04,0.9242,5,present-past|capitalize|english-french|english-german|english-spanish
r0,16,capitalize,0,0.28,0.9572,2,singular-plural|capitalize-first-letter
r0,16,capitalize,1,0.32,0.9745,2,singular-plural|choose-middle-of-list
r0,16,capitalize,2,0.28,0.9487,4,present-past|singular-plural|lowercase-first-letter|choose-middle-of-list
r0,16,capitalize-first-letter,0,0.0,0.8125,5,capitalize-last-letter|lowercase-first-letter|next-capital-letter|word-length|choose-last-of-list
r0,16,capitalize-first-letter,1,0.0,0.8333,4,capitalize-last-letter|lowercase-first-letter|next-capital-letter|word-length
r0,16,capitalize-first-letter,2,0.0,0.7668,5,capitalize-last-letter|lowercase-first-letter|next-capital-letter|word-length|color-from-list
r0,16,capitalize-last-letter,0,0.0,0.7646,4,capitalize-first-letter|lowercase-first-letter|next-capital-letter|word-length
r0,16,capitalize-last-letter,1,0.0,0.9163,4,capitalize-first-letter|lowercase-first-letter|next-capital-letter|word-length
r0,16,capitalize-last-letter,2,0.0,0.7869,5,capitalize-first-letter|lowercase-first-letter|prev-item|next-capital-letter|alphabetically-last
r0,16,lowercase-first-letter,0,0.08,0.8887,5,capitalize-first-letter|capitalize-last-letter|next-item|next-capital-letter|word-length
r0,16,lowercase-first-letter,1,0.0,0.8932,5,capitalize-first-letter|capitalize-last-letter|next-item|next-capital-letter|word-length
r0,16,lowercase-first-letter,2,0.08,0.7414,5,capitalize-first-letter|capitalize-last-letter|next-item|next-capital-letter|word-length
r0,16,english-french,0,0.0,0.9576,3,present-past|english-german|english-spanish
r0,16,english-french,1,0.0,0.9405,3,present-past|english-german|english-spanish
r0,16,english-french,2,0.0,0.9312,5,synonym|present-past|capitalize|english-german|english-spanish
r0,16,english-german,0,0.0,0.9455,4,present-past|english-french|english-spanish|prev-item
r0,16,english-german,1,0.0,0.9341,4,present-past|capitalize|english-french|english-spanish
r0,16,english-german,2,0.0,0.9617,2,english-french|english-spanish
r0,16,english-spanish,0,0.0,0.9324,5,country-currency|english-french|english-german|alphabetically-first|fruit-from-list
r0,16,english-spanish,1,0.0,0.9222,5,country-capital|country-currency|english-french|english-german|choose-middle-of-list
r0,16,english-spanish,2,0.0,0.8999,4,capitalize|english-french|english-german|alphabetically-first
r0,16,next-item,0,0.0,0.8331,3,present-past|capitalize-last-letter|prev-item
r0,16,next-item,1,0.0,0.8976,5,product-company|prev-item|next-capital-letter|word-length|choose-last-of-list
r0,16,next-item,2,0.0,0.8434,2,capitalize-last-letter|prev-item
r0,16,prev-item,0,0.0,0.8629,4,capitalize-last-letter|lowercase-first-letter|next-item|next-capital-letter
r0,16,prev-item,1,0.0,0.8932,4,lowercase-first-letter|next-item|next-capital-letter|word-length
r0,16,prev-item,2,0.0,0.8849,2,lowercase-first-letter|next-item
r0,16,next-capital-letter,0,0.0,0.8001,4,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|word-length
